Branch,Name,Coordinates
Air Force Base.,Bangor IAP,"-68.777814,44.801182,0"
US Navy Base,NAS Brunswick NCTS Cutler VLF Area,"-67.236328,44.676466,0"
US Navy Base,NAS Brunswick,"-69.934845,43.875128,0"
US Navy Base,NSY Portsmouth,"-70.718994,43.100983,0"
US Air Force Base,Pease ANGB,"-70.768433,43.080925,0"
US Air Force Base,Burlington IAP,"-73.179932,44.48034,0"
US Army Base,TS Camp Ethan Allen Range,"-72.937889,44.479361,0"
US Navy Base,NSU Saratoga Springs,"-73.820365,43.079909,0"
US Army Base,Fort Drum,"-75.758163,44.042332,0"
US Air Force Base,Rome Laboratory,"-75.504055,43.244953,0"
US Air Force Base,Hancock Field,"-76.099378,43.099186,0"
US Air Force Base,Schenectady MAP (ANG),"-73.939569,42.814243,0"
US Army Base,Watervliet Arsenal,"-73.706855,42.720249,0"
US Air Force Base,Barnes MAP (ANG),"-72.749626,42.124619,0"
US Air Force Base,Westover ARB,"-72.534783,42.194013,0"
US Army Base,Devens Reserve Forces TRN Area,"-71.6186,42.536448,0"
US Air Force Base,Hanscom AFB,"-71.275627,42.463027,0"
US Air Force Base,Bradley IAP,"-72.683873,41.928687,0"
US Army Base,Stone Ranch Mil Res,"-72.272647,41.367206,0"
US Navy Base,NAVSUBASE New London CT,"-72.078445,41.35001,0"
US Navy Base,NS Newport,"-71.319981,41.516804,0"
US Air Force Base,Quonset State APT,"-71.416798,41.595419,0"
US Army Base,NG Camp Fogarty TS,"-71.456009,41.6604,0"
US Air Force Base,Cape Cod AFS,"-70.53978,41.751849,0"
US Army Base,MTA Camp Edwards,"-70.543918,41.657052,0"
US Air Force Base,Otis ANGB,"-70.521385,41.658333,0"
US Army Base,Camp Smith,"-73.93953,41.302691,0"
US Army Base,West Point Mil Res,"-74.031715,41.364442,0"
US Air Force Base,Stewart IAP,"-74.101326,41.49742,0"
US Army Base,Fort Hamilton,"-74.030373,40.608925,0"
US Air Force Base,Francis S Gabreski APT,"-72.631789,40.843655,0"
US Army Base,Picatinny Arsenal,"-74.552187,40.947959,0"
US Army Base,Fort Monmouth Main Post (BRAC 05),"-74.041026,40.313321,0"
US Navy Base,NWS Earle,"-74.169031,40.254278,0"
US Air Force Base,McGuire AFB,"-74.587727,40.033924,0"
US Army Base,Fort Dix,"-74.619827,40.002898,0"
US Navy Base,NAWCADLKE Non-NIF Lakehurst NJ,"-74.311539,40.014797,0"
US Air Force Base,Warren Grove Range,"-74.400002,39.713333,0"
US Air Force Base,Atlantic City IAP,"-74.572211,39.451214,0"
US Army Base,Scranton AAP,"-75.670857,41.39904,0"
US Army Base,Tobyhanna Army Depot,"-75.431721,41.197492,0"
US Army Base,Fort Indiantown Gap,"-76.598299,40.439811,0"
US Navy Base,NAS JRB Willow Grove,"-75.140059,40.205812,0"
US Air Force Base,Willow Grove JRB,"-75.154724,40.206738,0"
US Navy Base,NSA Mechanicsburg,"-77.070759,40.390698,0"
US Army Base,Carlisle Barracks,"-77.177348,40.20657,0"
US Army Base,DDD Susquehanna,"-75.599627,41.943414,0"
US Army Base,Letterkenny Army Depot,"-77.659198,39.93721,0"
US Air Force Base,Harrisburg IAP,"-76.76096,40.198165,0"
US Army Base,Charles E. Kelly SPT Facility,"-79.995613,40.44083,0"
US Air Force Base,Pittsburgh IAP ARS,"-80.256693,40.495999,0"
US Air Force Base,New Castle County APT,"-75.618295,39.675668,0"
US Air Force Base,Dover AFB,"-75.486514,39.132289,0"
US Army Base,Fort Detrick,"-77.427782,39.434723,0"
US Army Base,"Aberdeen Proving Ground, MD","-76.129966,39.472467,0"
US Air Force Base,Martin ANGS,"-76.415749,39.326463,0"
US Army Base,Fort George G. Meade,"-76.741969,39.1081,0"
US Navy Base,NSA Annapolis,"-76.488173,38.983096,0"
