Title,Year,,
10 Cloverfield Lane,2016,,
20 Million Miles to Earth,1957,,
2001: A Space Odyssey,1968,,
2001: A Space Travesty,2000,,
2010: The Year We Make Contact,1984,,
The 5th Wave,2016,,
6 Days on Earth,2011,,
Abbott and Costello Go to Mars,1953,,
"Abraxas, Guardian of the Universe",1990,,
Absolutely Anything,2015,,
The Abyss,1989,,
The Adventures of Buckaroo Banzai Across the 8th Dimension,1984,,
Aelita,1924,,
After Earth,2013,,
Airplane II: The Sequel,1982,,
Algol: Tragedy of Power,1920,,
Alien,1979,,
Alien 2: On Earth,1980,,
Alien 3,1992,,
Alien Abduction,2005,,
Alien Abduction,2014,,
Alien Abduction: Incident in Lake County,1998,,
Alien Agent,2007,,
Alien Apocalypse,2005,,
Alien Arsenal,1999,,
Alien: Covenant,2017,,
The Alien Factor,1978,,
Alien Hunter,2003,,
Alien Intruder,1993,,
Alien Invasion Arizona,2005,,
Alien Nation,1988,,
Alien Origin,2012,,
Alien Raiders,2008,,
Alien Resurrection,1997,,
Alien Siege,2005,,
Alien Trespass,2009,,
Aliens,1986,,
Aliens Ate My Homework,2018,,
Aliens in the Attic,2009,,
Aliens vs. Avatars,2011,,
Alien vs. Predator,2004,,
Aliens vs. Predator: Requiem,2007,,
Alien vs Ninja,2010,,
Allegro Non Troppo,1976,,
Almost Human,2013,,
Altered,2006,,
Amazon Women on the Moon,1987,,
The Andromeda Strain,1971,,
The Angry Red Planet,1959,,
Angry Video Game Nerd: The Movie,2014,,
Annihilation,2018,,
Apollo 18,2011,,
Area 51,2015,,
Area Q,2011,,
Arena,1989,,
The Arrival,1996,,
Arrival,2016,,
Arrival II,1998,,
Los astronautas,1964,,
The Astronaut's Wife,1999,,
Attack of the 50 Foot Woman,1958,,
Attack of the 50 Ft. Woman (TV),1993,,
Attack the Block,2011,,
Atom Man vs. Superman,1950,,
Attraction,2017,,
Avatar,2009,,
The Avengers,2012,,
Avengers: Age of Ultron,2015,,
Avengers: Infinity War,2018,,
Avengers: Endgame,2019,,
AVH: Alien vs. Hunter,2007,,
Bad Taste,1987,,
Barbarella,1968,,
Batman v Superman: Dawn of Justice,2016,,
Batteries Not Included,1988,,
Battle Beyond the Stars,1980,,
Battlefield Earth,2001,,
Battle for Terra,2007,,
Battle in Outer Space,1959,,
Battle: Los Angeles,2011,,
Battleship,2012,,
Ben 10: Alien Swarm,2009,,
Ben 10: Race Against Time,2007,,
Ben 10: Destroy All Aliens,2012,,
Beware! The Blob,1972,,
Beyond Skyline,2017,,
Bill & Ted's Bogus Journey,1991,,
Black Antenna,2019,,
The Blob,1958,,
The Blob,1988,,
Bloodbath at the House of Death,1983,,
Bloodsuckers from Outer Space,1984,,
Body Snatchers,1993,,
The Brain,1988,,
The Brain from Planet Arous,1957,,
Breeders,1986,,
Brightburn,2019,,
The Brother from Another Planet,1984,,
Buck Rogers (serial),1939,,
Buzz Lightyear of Star Command: The Adventure Begins,2000,,
The Cabbage Soup,1981,,
Can of Worms,1999,,
The Cape Canaveral Monsters,1960,,
Captain Marvel,2019,,
Captive State,2019,,
Caravan of Courage: An Ewok Adventure (TV),1984,,
The Cat,1992,,
The Cat from Outer Space,1978,,
Cat-Women of the Moon,1953,,
Ché OVNI,1968,,
Chicken Little,2005,,
Children of the Damned,1964,,
Christmas on Mars,2008,,
The Chronicles of Riddick,2004,,
CJ7,2008,,
Close Encounters of the Third Kind,1977,,
Cloverfield,2008,,
The Cloverfield Paradox,2018,,
Cocoon,1985,,
Cocoon: The Return,1988,,
Communion,1989,,
Coneheads,1993,,
Contact,1997,,
Cowboys & Aliens,2011,,
Creature,1985,,
The Creature Wasn't Nice,1983,,
The Creeping Terror,1964,,
Critters,1986,,
Critters 2: The Main Course,1988,,
Critters 3,1991,,
Critters 4,1992,,
Critters Attack!,2019,,
Daleks' Invasion Earth 2150 A.D.,1966,,
Dark City,1998,,
The Dark Crystal,1982,,
Darkening Sky,2010,,
The Darkest Hour,2011,,
Dark Skies,2013,,
Dark Star,1974,,
Dark Universe,1993,,
The Day Mars Invaded Earth,1963,,
The Day of the Triffids,1962,,
The Day the Earth Stood Still,1951,,
The Day the Earth Stood Still,2008,,
The Day the Earth Stopped,2008,,
The Deadly Spawn,1983,,
Deadpool 2,2018,,
Decoys,2004,,
Decoys 2: Alien Seduction,2007,,
Destroy All Monsters,1968,,
Devil Girl from Mars,1954,,
District 9,2009,,
Doctor Strange,2016,,
Doctor Who,1996,,
Doom,2005,,
Dragonball Evolution,2009,,
Dr. Alien,1989,,
Dreamcatcher,2003,,
Dr. Who and the Daleks,1965,,
"Dude, Where's My Car?",2000,,
Dune,1984,,
Dune,2021,,
E.T. the Extra-Terrestrial,1982,,
Earth Girls Are Easy,1988,,
Earth to Echo,2014,,
Earth vs. the Flying Saucers,1956,,
Edge of Tomorrow,2014,,
Ender's Game,2013,,
Enemy Mine,1985,,
Escape from Planet Earth,2013,,
Escape to Witch Mountain,1975,,
Escape to Witch Mountain (TV),1995,,
Europa Report,2013,,
Evolution,2001,,
Ewoks: The Battle for Endor(TV),1985,,
Excursion to the Moon,1908,,
Explorers,1985,,
Extinction,2018,,
Extraterrestrial,2011,,
Extraterrestrial,2014,,
The Eye Creatures,1965,,
The Faculty,1998,,
Fantastic Four: Rise of the Silver Surfer,2007,,
Fantastic Planet,1973,,
Feeders,1996,,
The Fifth Element,1997,,
Fire in the Sky,1993,,
Fire Maidens from Outer Space,1956,,
First Men in the Moon,1964,,
First Spaceship on Venus,1962,,
Flash Gordon (serial),1936,,
Flash Gordon,1980,,
Flash Gordon Conquers the Universe,1940,,
Flash Gordon's Trip to Mars,1938,,
Flesh Gordon,1974,,
Flesh Gordon Meets the Cosmic Cheerleaders,1989,,
Flight of the Navigator,1986,,
Flight to Mars,1950,,
The Flintstones in Viva Rock Vegas,2000,,
Flying Disc Man from Mars,1950,,
Flying Saucer Rock'n'Roll,1997,,
Forbidden Planet,1956,,
Forbidden World,1982,,
The Forgotten,2004,,
The Fourth Kind,2009,,
Frankenstein Island,1981,,
Frankenstein Meets the Space Monster,1965,,
Freaks of Nature,2015,,
Futurama: Bender's Big Score(TV),2007,,
Futurama: The Beast with a Billion Backs(TV),2008,,
Galaxy Invader,1985,,
Galaxy of Terror,1981,,
Galaxy Quest,1999,,
Gamera: Super Monster,1980,,
Gamera vs. Viras,1968,,
Gamera vs. Zigra,1971,,
The Gendarme and the Extra-Terrestrials,1979,,
"Ghidorah, the Three-Headed Monster",1964,,
Ghosts of Mars,2001,,
The Giant Spider Invasion,1975,,
God Told Me To,1976,,
Godzilla 2000,1999,,
Godzilla: Final Wars,2004,,
Godzilla vs. Gigan,1972,,
Godzilla: King of the Monsters,2019,,
Godzilla vs. Mechagodzilla,1974,,
Godzilla vs. SpaceGodzilla,1994,,
Godzilla vs. Destoroyah,1995,,
Good Boy!,2003,,
Grabbers,2012,,
Green Lantern,2011,,
The Green Slime,1968,,
Guardians of the Galaxy,2014,,
Guardians of the Galaxy Vol. 2,2017,,
Hangar 18,1980,,
HappinessCharge PreCure! the Movie: The Ballerina of the Land of Dolls,2014,,
Hardware Wars,1978,,
"Have Rocket, Will Travel",1959,,
Heavy Metal,1981,,
Heavy Metal 2000,2000,,
H.G. Wells' The War of the Worlds,2005,,
H.G. Wells' War of the Worlds,2005,,
The Hidden,1987,,
The Hidden II,1993,,
Highlander II: The Quickening,1991,,
High Plains Invaders(TV),2009,,
The Hitchhiker's Guide to the Galaxy,2005,,
Hobgoblins,1988,,
Home,2015,,
Honeymoon,2014,,
Horror Express,1972,,
The Host,2013,,
How to Talk to Girls at Parties,2018,,
Howard the Duck,1986,,
I Am Number Four,2011,,
I Come in Peace,1990,,
Illegal Aliens,2007,,
I Married a Monster from Outer Space,1958,,
Impostor,2002,,
Independence Day,1996,,
Independence Day: Resurgence,2016,,
Indiana Jones and the Kingdom of the Crystal Skull,2008,,
Infected (TV),2008,,
Inseminoid,1981,,
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,2003,,
Invaders from Mars,1953,,
Invaders from Mars,1986,,
Invasion,1966,,
The Invasion,2007,,
Invasion from Inner Earth,1974,,
Invasion of Astro-Monster,1965,,
Invasion of the Body Snatchers,1956,,
Invasion of the Body Snatchers,1978,,
Invasion of the Neptune Men,1961,,
Invasion of the Saucer Men,1957,,
Invasion of the Star Creatures,1962,,
Invisible Invaders,1959,,
The Iron Giant,1999,,
Iron Invader,2011,,
It: Chapter One,2017,,
It Chapter Two,2019,,
It Came from Outer Space,1953,,
It Conquered the World,1956,,
It! The Terror from Beyond Space,1958,,
I Was a Zombie for the F.B.I.,1982,,
Jetsons: The Movie,1990,,
Jimmy Neutron: Boy Genius,2001,,
John Carter,2012,,
Joker,2012,,
Journey to the Seventh Planet,1962,,
Jupiter Ascending,2015,,
Justice League,2017,,
Just Imagine,1930,,
Killer Klowns from Outer Space,1988,,
Killers from Space,1954,,
Knowing,2009,,
Koi... Mil Gaya,2003,,
Kronos,1957,,
Krrish 3,2013,,
Krull,1983,,
The Last Starfighter,1984,,
Leroy & Stitch,2006,,
Life,2017,,
Lifeforce,1985,,
Lifted,2006,,
Lilo & Stitch,2002,,
Lilo & Stitch 2: Stitch Has a Glitch,2005,,
Little Shop of Horrors,1986,,
Liquid Sky,1982,,
