,id,title,release_date,original_language,original_title,genre_ids,overview
0,580489,Venom: Let There Be Carnage,2021-06-23,en,Venom: Let There Be Carnage,28.0,"Sequel to the box-office hit film ""Venom."""
1,287947,Shazam!,2019-03-29,en,Shazam!,28.0,A boy is given the ability to become an adult superhero in times of need with a single magic word.
2,422803,A Shaun the Sheep Movie: Farmageddon,2019-09-26,en,A Shaun the Sheep Movie: Farmageddon,35.0,"When an alien with amazing powers crash-lands near Mossy Bottom Farm, Shaun the Sheep goes on a mission to shepherd the intergalactic visitor home before a sinister organization can capture her."
3,373571,Godzilla: King of the Monsters,2019-05-29,en,Godzilla: King of the Monsters,878.0,"Follows the heroic efforts of the crypto-zoological agency Monarch as its members face off against a battery of god-sized monsters, including the mighty Godzilla, who collides with Mothra, Rodan, and his ultimate nemesis, the three-headed King Ghidorah. When these ancient super-species, thought to be mere myths, rise again, they all vie for supremacy, leaving humanity's very existence hanging in the balance."
4,479455,Men in Black: International,2019-06-12,en,Men in Black: International,35.0,"The Men in Black have always protected the Earth from the scum of the universe. In this new adventure, they tackle their biggest, most global threat to date: a mole in the Men in Black organization."
5,320288,Dark Phoenix,2019-06-05,en,Dark Phoenix,878.0,"The X-Men face their most formidable and powerful foe when one of their own, Jean Grey, starts to spiral out of control. During a rescue mission in outer space, Jean is nearly killed when she's hit by a mysterious cosmic force. Once she returns home, this force not only makes her infinitely more powerful, but far more unstable. The X-Men must now band together to save her soul and battle aliens that want to use Grey's new abilities to rule the galaxy."
6,429617,Spider-Man: Far from Home,2019-06-28,en,Spider-Man: Far from Home,28.0,"Peter Parker and his friends go on a summer trip to Europe. However, they will hardly be able to rest - Peter will have to agree to help Nick Fury uncover the mystery of creatures that cause natural disasters and destruction throughout the continent."
7,181812,Star Wars: The Rise of Skywalker,2019-12-18,en,Star Wars: The Rise of Skywalker,28.0,"The surviving Resistance faces the First Order once again as the journey of Rey, Finn and Poe Dameron continues. With the power and knowledge of generations behind them, the final battle begins."
8,537061,Steven Universe: The Movie,2019-09-02,en,Steven Universe: The Movie,28.0,"Two years after the events of ""Change Your Mind"", Steven (now 16 years old) and his friends are ready to enjoy the rest of their lives peacefully. However, all of that changes when a new sinister Gem arrives, armed with a giant drill that saps the life force of all living things on Earth. In their biggest challenge ever, the Crystal Gems must work together to save all organic life on Earth within 48 hours."
9,597856,Critters Attack!,2019-07-13,en,Critters Attack!,27.0,"Follows 20-year-old Drea, who reluctantly takes a job babysitting for a professor of a college she hopes to attend. Struggling to entertain the professor's children Trissy and Jake, along with her own little brother Phillip , Drea takes them on a hike, unaware that mysterious alien critters have crash-landed and started devouring every living thing they encounter."
10,299534,Avengers: Endgame,2019-04-24,en,Avengers: Endgame,12.0,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store."
11,348350,Solo: A Star Wars Story,2018-05-15,en,Solo: A Star Wars Story,12.0,"Through a series of daring escapades deep within a dark and dangerous criminal underworld, Han Solo meets his mighty future copilot Chewbacca and encounters the notorious gambler Lando Calrissian."
12,299536,Avengers: Infinity War,2018-04-25,en,Avengers: Infinity War,12.0,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain."
13,181808,Star Wars: The Last Jedi,2017-12-13,en,Star Wars: The Last Jedi,28.0,"Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares to do battle with the First Order."
14,283995,Guardians of the Galaxy Vol. 2,2017-04-19,en,Guardians of the Galaxy Vol. 2,28.0,The Guardians must fight to keep their newfound family together as they unravel the mysteries of Peter Quill's true parentage.
15,284053,Thor: Ragnarok,2017-10-25,en,Thor: Ragnarok,28.0,"Thor is imprisoned on the other side of the universe and finds himself in a race against time to get back to Asgard to stop Ragnarok, the destruction of his home-world and the end of Asgardian civilization, at the hands of an all-powerful new threat, the ruthless Hela."
16,335988,Transformers: The Last Knight,2017-06-16,en,Transformers: The Last Knight,28.0,"Autobots and Decepticons are at war, with humans on the sidelines. Optimus Prime is gone. The key to saving our future lies buried in the secrets of the past, in the hidden history of Transformers on Earth."
17,661286,The Summers of IT: Chapter One,2019-12-10,en,The Summers of IT: Chapter One,99.0,"This documentary focuses on the actors and their journey over two summers to create the remake to the original IT, by Stephen King. The documentary originally released as bonus material, bundled with IT: Chapter Two."
18,126889,Alien: Covenant,2017-05-09,en,Alien: Covenant,27.0,"Bound for a remote planet on the far side of the galaxy, the crew of the colony ship 'Covenant' discovers what is thought to be an uncharted paradise, but is actually a dark, dangerous world—which has a sole inhabitant: the 'synthetic', David, survivor of the doomed Prometheus expedition."
19,308531,Teenage Mutant Ninja Turtles: Out of the Shadows,2016-06-01,en,Teenage Mutant Ninja Turtles: Out of the Shadows,28.0,"After supervillain Shredder escapes custody, he joins forces with mad scientist Baxter Stockman and two dimwitted henchmen, Bebop and Rocksteady, to unleash a diabolical plan to take over the world. As the Turtles prepare to take on Shredder and his new crew, they find themselves facing an even greater evil with similar intentions: the notorious Krang."
20,209112,Batman v Superman: Dawn of Justice,2016-03-23,en,Batman v Superman: Dawn of Justice,28.0,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before."
21,330459,Rogue One: A Star Wars Story,2016-12-14,en,Rogue One: A Star Wars Story,28.0,A rogue band of resistance fighters unite for a mission to steal the Death Star plans and bring a new hope to the galaxy.
