year,ufo_sightings,alcohol_consumption
1960,51,7.8
1961,41,7.8
1962,56,8
1963,68,8.1
1964,78,8.4
1965,164,8.6
1966,160,8.8
1967,147,9
1968,175,9.3
1969,120,9.5
1970,109,9.5
1971,97,9.8
1972,119,9.7
1973,188,9.9
1974,219,10.1
1975,247,10.2
1976,222,10.2
1977,206,10
1978,258,10.3
1979,191,10.4
1980,194,10.4
1981,133,10.4
1982,134,10.3
1983,122,10.2
1984,144,10
1985,171,9.9
1986,153,9.8
1987,176,9.6
1988,188,9.4
1989,200,9.2
1990,191,9.3
1991,180,8.7
1992,183,8.7
1993,228,8.4
1994,324,8.3
1995,915,8.1
1996,646,8.2
1997,1009,8.1
1998,1404,8.1
1999,2253,8.2
2000,2184,8.2
2001,2445,8.3
2002,2439,8.3
2003,2958,8.4
2004,3244,8.5
2005,3228,8.5
2006,2884,8.6
2007,3470,8.7
2008,4017,8.7
2009,3677,8.7
2010,3548,8.6
2011,4379,8.7
2012,6320,8.9
2013,6056,8.8
2014,1964,8.8
